STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/16,1.37,",,s",,,61,",,s",80,",,s",56,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/17,0.62,",,s",,,58,",,s",60,",,s",56,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/18,0.52,",,s",,,64,",,s",74,",,s",57,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/19,0,",,s",,,69,",,s",77,",,s",63,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/20,0,",,s",,,69,",,s",78,",,s",61,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/21,0.01,",,s",,,68,",,s",71,",,s",66,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/22,0,"T,,s",,,71,",,s",81,",,s",63,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/23,0.23,",,s",,,72,",,s",76,",,s",67,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/24,0,",,s",,,74,",,s",85,",,s",68,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/25,0.2,",,s",,,70,",,s",79,",,s",67,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/26,0,",,s",,,71,",,s",83,",,s",63,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/27,0,",,s",,,71,",,s",85,",,s",57,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/28,0.01,",,s",,,77,",,s",88,",,s",69,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/29,0,",,s",,,77,",,s",89,",,s",67,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/30,0.1,",,s",,,74,",,s",81,",,s",71,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/31,0.34,",,s",,,68,",,s",76,",,s",62,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/1,0,"T,,s",,,72,",,s",83,",,s",66,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/2,0,",,s",,,74,",,s",83,",,s",67,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/3,0,",,s",,,75,",,s",85,",,s",66,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/4,0,",,s",,,74,",,s",80,",,s",71,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/5,0.02,",,s",,,70,",,s",75,",,s",67,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/6,0.25,",,s",,,75,",,s",86,",,s",68,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/7,0,"T,,s",,,75,",,s",81,",,s",67,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/8,0,"T,,s",,,75,",,s",79,",,s",70,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/9,0.18,",,s",,,70,",,s",75,",,s",66,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/10,0,",,s",,,73,",,s",80,",,s",67,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/11,0,",,s",,,75,",,s",83,",,s",70,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/12,0,",,s",,,76,",,s",87,",,s",68,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/13,0,",,s",,,80,",,s",89,",,s",70,",,s"
